FAMILY,genus.species,FLOWER_SPECIES,DATE
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Melilotus officinalis,21-Jun-14
Apidae,Apis.mellifera,Crepis intermedia,21-Jun-14
Apidae,Apis.mellifera,Astragalus alpinus,21-Jun-14
Apidae,Bombus.bifarius,Lupinus sericeus,24-Jun-14
Apidae,Bombus.bifarius,Lupinus sericeus,24-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,24-Jun-14
Colletidae,Colletes.consors.consors,Phacelia linearis,30-Jun-14
Apidae,Apis.mellifera,Symphoricarpos albus,30-Jun-14
Megachilidae,Megachile.melanophaea,Campanula rotundifolia,30-Jun-14
Megachilidae,Osmia.tersula,Fragaria virginiana,1-Jul-14
Andrenidae,Andrena.prunorum,Achillea millefolium,1-Jul-14
Halictidae,Dufourea.trochantera,Phacelia linearis,1-Jul-14
Colletidae,Hylaeus.annulatus,Sedum lanceolatum,1-Jul-14
Megachilidae,Osmia.tristella,Sedum lanceolatum,1-Jul-14
Megachilidae,Stelis.foederalis.gr.sp.B,Apocynum androsaemifolium,1-Jul-14
Colletidae,Hylaeus.verticalis,Apocynum androsaemifolium,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,1-Jul-14
Apidae,Bombus.centralis,Melilotus officinalis,2-Jul-14
Apidae,Bombus.centralis,Melilotus officinalis,2-Jul-14
Halictidae,Lasioglossum.sp.F1,Lonicera utahensis,2-Jul-14
Halictidae,Halictus.rubicundus,Valeriana edulis,2-Jul-14
Halictidae,Lasioglossum.albipenne,Achillea millefolium,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Megachilidae,Osmia.atrocyanea,Melilotus officinalis,2-Jul-14
Halictidae,Lasioglossum.succinipenne,Campanula rotundifolia,2-Jul-14
Andrenidae,Andrena.prunorum,Linaria dalmatica,2-Jul-14
Halictidae,Lasioglossum.albipenne,Melilotus officinalis,2-Jul-14
Halictidae,Halictus.confusus,Melilotus officinalis,2-Jul-14
Halictidae,Lasioglossum.albipenne,Astragalus convallarius,2-Jul-14
Colletidae,Colletes.fulgidus,Medicago lupulina,2-Jul-14
Apidae,Nomada.sp.F3,Astragalus laxmannii,2-Jul-14
Megachilidae,Osmia.nigrifrons,Astragalus laxmannii,2-Jul-14
Colletidae,Hylaeus.coloradensis,Sedum lanceolatum,2-Jul-14
Apidae,Apis.mellifera,Symphoricarpos albus,2-Jul-14
Apidae,Eucera.edwardsii,Symphoricarpos albus,2-Jul-14
Apidae,Eucera.edwardsii,Lupinus sericeus,2-Jul-14
Megachilidae,Megachile.perihirta,Symphoricarpos albus,2-Jul-14
Megachilidae,Osmia.albolateralis,Tragopogon dubius,2-Jul-14
Megachilidae,Ashmeadiella.cactorum,Crepis intermedia,2-Jul-14
Colletidae,Hylaeus.modestus,Rosa woodsii,2-Jul-14
Halictidae,Lasioglossum.albipenne,Campanula rotundifolia,2-Jul-14
Megachilidae,Megachile.relativa,Melilotus officinalis,2-Jul-14
Apidae,Ceratina.neomexicana,Carduus nutans,2-Jul-14
Apidae,Ceratina.neomexicana,Packera cana,2-Jul-14
Halictidae,Lasioglossum.sp.F7,Apocynum androsaemifolium,2-Jul-14
Andrenidae,Andrena.miranda,Potentilla pensylvanica,2-Jul-14
Halictidae,Lasioglossum.albipenne,Heterotheca villosa,2-Jul-14
Halictidae,Halictus.confusus,Melilotus officinalis,2-Jul-14
Halictidae,Halictus.rubicundus,Melilotus officinalis,2-Jul-14
Megachilidae,Megachile.pugnata,Crepis tectorum,2-Jul-14
Halictidae,Lasioglossum.albipenne,Medicago lupulina,2-Jul-14
Halictidae,Lasioglossum.marinense,Linum lewisii,2-Jul-14
Andrenidae,Andrena.nivalis,Melilotus officinalis,2-Jul-14
Andrenidae,Andrena.milwaukeensis,Melilotus officinalis,2-Jul-14
Megachilidae,Osmia.trevoris,Melilotus officinalis,2-Jul-14
Megachilidae,Osmia.tristella,Melilotus officinalis,2-Jul-14
Halictidae,Lasioglossum.albipenne,Campanula rotundifolia,2-Jul-14
Megachilidae,Osmia.coloradensis,Packera cana,2-Jul-14
Apidae,Bombus.flavifrons,Arnica sororia,2-Jul-14
Megachilidae,Osmia.coloradensis,Crepis intermedia,2-Jul-14
Halictidae,Lasioglossum.marinense,Crepis intermedia,2-Jul-14
Halictidae,Lasioglossum.albipenne,Crepis tectorum,2-Jul-14
Halictidae,Halictus.rubicundus,Achillea millefolium,2-Jul-14
Halictidae,Lasioglossum.tenax,Achillea millefolium,2-Jul-14
Colletidae,Colletes.fulgidus,Carduus nutans,2-Jul-14
Megachilidae,Osmia.phaceliae,Melilotus officinalis,2-Jul-14
Megachilidae,Osmia.trevoris,Melilotus officinalis,2-Jul-14
Megachilidae,Osmia.pusilla,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Megachilidae,Anthidium.utahense,Achillea millefolium,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Symphoricarpos albus,2-Jul-14
Megachilidae,Megachile.frigida,Campanula rotundifolia,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,2-Jul-14
Apidae,Apis.mellifera,Symphoricarpos albus,2-Jul-14
Megachilidae,Osmia.bucephala,Lupinus sericeus,3-Jul-14
Megachilidae,Osmia.bucephala,Hedysarum sulphurescens,3-Jul-14
Megachilidae,Osmia.phaceliae,Lupinus sericeus,3-Jul-14
Halictidae,Lasioglossum.sp.F5,Hedysarum sulphurescens,3-Jul-14
Andrenidae,Andrena.topazana,Fragaria virginiana,3-Jul-14
Halictidae,Lasioglossum.tenax,Fragaria virginiana,3-Jul-14
Andrenidae,Andrena.miranda,Rosa woodsii,3-Jul-14
Megachilidae,Stelis.sp.F6,Achillea millefolium,3-Jul-14
Megachilidae,Osmia.coloradensis,Taraxacum officinale,3-Jul-14
Halictidae,Lasioglossum.abundipunctum,Lupinus sericeus,3-Jul-14
Apidae,Eucera.edwardsii,Lupinus sericeus,3-Jul-14
Megachilidae,Hoplitis.hypocrita,Lupinus sericeus,3-Jul-14
Halictidae,Agapostemon.virescens,Gaillardia aristata,3-Jul-14
Halictidae,Lasioglossum.tenax,Heterotheca villosa,3-Jul-14
Apidae,Ceratina.neomexicana,Heterotheca villosa,3-Jul-14
Colletidae,Hylaeus.wootoni,Heterotheca villosa,3-Jul-14
Apidae,Ceratina.neomexicana,Heterotheca villosa,3-Jul-14
Apidae,Ceratina.neomexicana,Melilotus officinalis,3-Jul-14
Colletidae,Colletes.kincaidii,Melilotus officinalis,3-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,3-Jul-14
Megachilidae,Osmia.phaceliae,Melilotus officinalis,3-Jul-14
Halictidae,Lasioglossum.albipenne,Hedysarum boreale,3-Jul-14
Halictidae,Lasioglossum.albipenne,Packera cana,3-Jul-14
Halictidae,Halictus.tripartitus,Medicago lupulina,3-Jul-14
Andrenidae,Andrena.salicifloris,Melilotus officinalis,3-Jul-14
Halictidae,Halictus.ligatus,Gaillardia aristata,3-Jul-14
Halictidae,Lasioglossum.occidentale,Melilotus officinalis,3-Jul-14
Halictidae,Dufourea.maura,Campanula rotundifolia,3-Jul-14
Megachilidae,Osmia.coloradensis,Achillea millefolium,3-Jul-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,3-Jul-14
Halictidae,Lasioglossum.albipenne,Achillea millefolium,3-Jul-14
Apidae,Ceratina.neomexicana,Heterotheca villosa,3-Jul-14
Megachilidae,Osmia.trevoris,Melilotus officinalis,3-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Melilotus officinalis,3-Jul-14
Halictidae,Lasioglossum.sp.F28,Phacelia linearis,3-Jul-14
Megachilidae,Osmia.coloradensis,Packera cana,3-Jul-14
Halictidae,Lasioglossum.albipenne,Melilotus officinalis,3-Jul-14
Apidae,Anthophora.terminalis,Melilotus officinalis,3-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Melilotus officinalis,3-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,3-Jul-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,3-Jul-14
Megachilidae,Anthidium.utahense,Melilotus officinalis,3-Jul-14
Megachilidae,Osmia.juxta,Linaria dalmatica,3-Jul-14
Halictidae,Lasioglossum.albipenne,Achillea millefolium,3-Jul-14
Megachilidae,Megachile.relativa,Achillea millefolium,3-Jul-14
Halictidae,Lasioglossum.albipenne,Achillea millefolium,3-Jul-14
Megachilidae,Megachile.pugnata,Achillea millefolium,3-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,3-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,3-Jul-14
Apidae,Bombus.mixtus,Hedysarum sulphurescens,7-Jul-14
Apidae,Bombus.bifarius,Hedysarum sulphurescens,7-Jul-14
Apidae,Bombus.rufocinctus,Hedysarum sulphurescens,7-Jul-14
Andrenidae,Panurginus.torchioi,Physocarpus malvaceus,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,7-Jul-14
Halictidae,Lasioglossum.marinense,Achillea millefolium,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Achillea millefolium,7-Jul-14
Halictidae,Lasioglossum.nr.pavoninum,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.marinense,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Andrenidae,Andrena.miranda,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.tenax,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Hedysarum sulphurescens,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,7-Jul-14
Halictidae,Halictus.confusus,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Megachilidae,Megachile.frigida,Hedysarum sulphurescens,7-Jul-14
Megachilidae,Osmia.albolateralis,Hedysarum sulphurescens,7-Jul-14
Halictidae,Lasioglossum.sp.F3,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.tenax,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.marinense,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Andrenidae,Andrena.topazana,Rosa woodsii,7-Jul-14
Andrenidae,Andrena.amphibola,Rosa woodsii,7-Jul-14
Andrenidae,Andrena.topazana,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.ruidosense,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.ruidosense,Rosa woodsii,7-Jul-14
Andrenidae,Andrena.topazana,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.nr.pavoninum,Rosa woodsii,7-Jul-14
Megachilidae,Osmia.phaceliae,Hedysarum sulphurescens,7-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,7-Jul-14
Halictidae,Lasioglossum.sp.F17,Rosa woodsii,7-Jul-14
Megachilidae,Osmia.bucephala,Hedysarum sulphurescens,7-Jul-14
Apidae,Bombus.bifarius,Hedysarum sulphurescens,7-Jul-14
Apidae,Bombus.rufocinctus,Lupinus sericeus,8-Jul-14
Apidae,Bombus.bifarius,Lupinus sericeus,8-Jul-14
Apidae,Bombus.bifarius,Spiraea betulifolia,8-Jul-14
Apidae,Bombus.rufocinctus,Campanula rotundifolia,8-Jul-14
Apidae,Bombus.huntii,Astragalus miser,8-Jul-14
Megachilidae,Megachile.frigida,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.albolateralis,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.bucephala,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.inermis,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.albolateralis,Astragalus miser,8-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,8-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,8-Jul-14
Andrenidae,Andrena.vierecki,Physocarpus malvaceus,8-Jul-14
Andrenidae,Andrena.candida,Physocarpus malvaceus,8-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,8-Jul-14
Andrenidae,Andrena.topazana,Rosa woodsii,8-Jul-14
Megachilidae,Osmia.nigrifrons,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Megachile.melanophaea,Hedysarum sulphurescens,8-Jul-14
Halictidae,Lasioglossum.nigroviride,Rosa woodsii,8-Jul-14
Megachilidae,Megachile.frigida,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Megachile.melanophaea,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.pentstemonis,Hedysarum sulphurescens,8-Jul-14
Halictidae,Lasioglossum.tenax,Rosa woodsii,8-Jul-14
Andrenidae,Andrena.topazana,Rosa woodsii,8-Jul-14
Megachilidae,Hoplitis.fulgida.fulgida,Hedysarum sulphurescens,8-Jul-14
Colletidae,Hylaeus.verticalis,Rosa woodsii,8-Jul-14
Megachilidae,Osmia.phaceliae,Lupinus sericeus,8-Jul-14
Andrenidae,Andrena.saccata,Lupinus sericeus,8-Jul-14
Megachilidae,Osmia.nigrifrons,Hedysarum sulphurescens,8-Jul-14
Halictidae,Halictus.rubicundus,Rosa woodsii,8-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Lupinus sericeus,8-Jul-14
Megachilidae,Hoplitis.fulgida.fulgida,Hedysarum sulphurescens,8-Jul-14
Halictidae,Halictus.confusus,Astragalus australis,8-Jul-14
Halictidae,Halictus.rubicundus,Chamerion angustifolium,8-Jul-14
Megachilidae,Osmia.albolateralis,Lupinus sericeus,8-Jul-14
Megachilidae,Osmia.albolateralis,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.albolateralis,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Osmia.bucephala,Hedysarum sulphurescens,8-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Hedysarum sulphurescens,8-Jul-14
Colletidae,Hylaeus.modestus,Rosa woodsii,8-Jul-14
Andrenidae,Andrena.miranda,Rosa woodsii,8-Jul-14
Halictidae,Halictus.rubicundus,Rosa woodsii,8-Jul-14
Halictidae,Lasioglossum.marinense,Rosa woodsii,8-Jul-14
Andrenidae,Andrena.crataegi,Physocarpus malvaceus,8-Jul-14
Halictidae,Lasioglossum.sp.F5,Physocarpus malvaceus,8-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,8-Jul-14
Halictidae,Lasioglossum.nigroviride,Physocarpus malvaceus,8-Jul-14
Halictidae,Lasioglossum.marinense,Rosa woodsii,8-Jul-14
Andrenidae,Andrena.miranda,Linum lewisii,8-Jul-14
Megachilidae,Osmia.grindeliae,Linum lewisii,8-Jul-14
Halictidae,Lasioglossum.tenax,Rosa woodsii,8-Jul-14
Megachilidae,Osmia.albolateralis,Hedysarum sulphurescens,8-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Packera cana,8-Jul-14
Megachilidae,Osmia.phaceliae,Phacelia linearis,8-Jul-14
Halictidae,Lasioglossum.aff.caducum,Phacelia linearis,8-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Bombus.rufocinctus,Lupinus sericeus,8-Jul-14
Apidae,Bombus.bifarius,Hedysarum sulphurescens,8-Jul-14
Apidae,Bombus.mixtus,Aquilegia flavescens,9-Jul-14
Apidae,Bombus.mixtus,Aquilegia flavescens,9-Jul-14
Apidae,Bombus.centralis,Medicago lupulina,9-Jul-14
Apidae,Bombus.cent.flavi,Linaria dalmatica,9-Jul-14
Apidae,Bombus.bifarius,Melilotus officinalis,9-Jul-14
Apidae,Bombus.bifarius,Linaria dalmatica,9-Jul-14
Megachilidae,Osmia.phaceliae,Fragaria virginiana,9-Jul-14
Halictidae,Halictus.rubicundus,Actaea rubra,9-Jul-14
Halictidae,Lasioglossum.albipenne,Packera cana,9-Jul-14
Apidae,Ceratina.neomexicana,Cirsium vulgare,9-Jul-14
Apidae,Ceratina.neomexicana,Cirsium vulgare,9-Jul-14
Megachilidae,Osmia.montana.montana,Cirsium vulgare,9-Jul-14
Megachilidae,Heriades.carinatus,Cirsium vulgare,9-Jul-14
Halictidae,Lasioglossum.albipenne,Linaria dalmatica,9-Jul-14
Megachilidae,Heriades.cressoni,Tragopogon dubius,9-Jul-14
Megachilidae,Osmia.trevoris,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.grindeliae,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.phaceliae,Melilotus officinalis,9-Jul-14
Halictidae,Halictus.tripartitus,Heterotheca villosa,9-Jul-14
Megachilidae,Osmia.trevoris,Melilotus officinalis,9-Jul-14
Colletidae,Colletes.phaceliae,Melilotus officinalis,9-Jul-14
Halictidae,Dufourea.maura,Campanula rotundifolia,9-Jul-14
Megachilidae,Osmia.longula,Glycyrrhiza lepidota,9-Jul-14
Apidae,Ceratina.neomexicana,Cirsium vulgare,9-Jul-14
Apidae,Ceratina.neomexicana,Cirsium vulgare,9-Jul-14
Halictidae,Lasioglossum.occidentale,Symphoricarpos albus,9-Jul-14
Halictidae,Lasioglossum.succinipenne,Medicago lupulina,9-Jul-14
Megachilidae,Hoplitis.truncata,Melilotus officinalis,9-Jul-14
Andrenidae,Andrena.nivalis,Melilotus officinalis,9-Jul-14
Colletidae,Colletes.phaceliae,Melilotus officinalis,9-Jul-14
Colletidae,Colletes.fulgidus,Melilotus officinalis,9-Jul-14
Andrenidae,Andrena.amphibola,Melilotus officinalis,9-Jul-14
Colletidae,Colletes.phaceliae,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.phaceliae,Melilotus officinalis,9-Jul-14
Megachilidae,Anthidium.mormonum,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.tristella,Melilotus officinalis,9-Jul-14
Halictidae,Lasioglossum.albipenne,Campanula rotundifolia,9-Jul-14
Halictidae,Halictus.confusus,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.trevoris,Philadelphus lewisii,9-Jul-14
Apidae,Ceratina.nanula,Heterotheca villosa,9-Jul-14
Halictidae,Halictus.tripartitus,Heterotheca villosa,9-Jul-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.densa,Melilotus officinalis,9-Jul-14
Halictidae,Lasioglossum.egregium,Linaria dalmatica,9-Jul-14
Megachilidae,Osmia.trevoris,Gaillardia aristata,9-Jul-14
Andrenidae,Andrena.amphibola,Melilotus officinalis,9-Jul-14
Halictidae,Lasioglossum.ebmerellum,Melilotus officinalis,9-Jul-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,9-Jul-14
Megachilidae,Dioxys.productus,Melilotus officinalis,9-Jul-14
Andrenidae,Andrena.amphibola,Melilotus officinalis,9-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Campanula rotundifolia,9-Jul-14
Megachilidae,Osmia.coloradensis,Gaillardia aristata,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Ceratina.nanula,Campanula rotundifolia,9-Jul-14
Colletidae,Hylaeus.episcopalis,Lupinus sericeus,9-Jul-14
Apidae,Eucera.edwardsii,Lupinus sericeus,9-Jul-14
Halictidae,Lasioglossum.albipenne,Campanula rotundifolia,9-Jul-14
Megachilidae,Osmia.juxta,Gaillardia aristata,9-Jul-14
Megachilidae,Hoplitis.hypocrita,Melilotus officinalis,9-Jul-14
Halictidae,Lasioglossum.sp.F2,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,9-Jul-14
Apidae,Bombus.bifarius,Linaria dalmatica,10-Jul-14
Megachilidae,Hoplitis.hypocrita,Linaria dalmatica,10-Jul-14
Apidae,Anthophora.urbana,Melilotus officinalis,10-Jul-14
Megachilidae,Megachile.brevis,Heterotheca villosa,10-Jul-14
Megachilidae,Osmia.albolateralis,Melilotus officinalis,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Megachilidae,Osmia.juxta,Heterotheca villosa,10-Jul-14
Megachilidae,Hoplitis.truncata,Phacelia linearis,10-Jul-14
Megachilidae,Megachile.melanophaea,Campanula rotundifolia,10-Jul-14
Megachilidae,Megachile.melanophaea,Campanula rotundifolia,10-Jul-14
Megachilidae,Megachile.pugnata,Gaillardia aristata,10-Jul-14
Halictidae,Lasioglossum.ebmerellum,Heterotheca villosa,10-Jul-14
Colletidae,Hylaeus.leptocephalus,Melilotus officinalis,10-Jul-14
Halictidae,Lasioglossum.albipenne,Achillea millefolium,10-Jul-14
Megachilidae,Hoplitis.hypocrita,Linaria dalmatica,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Phacelia linearis,10-Jul-14
Megachilidae,Osmia.trevoris,Lupinus sericeus,10-Jul-14
Megachilidae,Osmia.atrocyanea,Lupinus sericeus,10-Jul-14
Megachilidae,Osmia.aff.paradisica,Lupinus sericeus,10-Jul-14
Megachilidae,Osmia.juxta,Lupinus sericeus,10-Jul-14
Apidae,Eucera.edwardsii,Lupinus sericeus,10-Jul-14
Apidae,Melissodes.microsticta,Cirsium vulgare,10-Jul-14
Colletidae,Hylaeus.leptocephalus,Melilotus officinalis,10-Jul-14
Megachilidae,Osmia.phaceliae,Lupinus sericeus,10-Jul-14
Megachilidae,Osmia.juxta,Cirsium vulgare,10-Jul-14
Megachilidae,Osmia.juxta,Cirsium vulgare,10-Jul-14
Halictidae,Halictus.confusus,Melilotus officinalis,10-Jul-14
Megachilidae,Osmia.juxta,Taraxacum officinale,10-Jul-14
Megachilidae,Anthidium.mormonum,Melilotus officinalis,10-Jul-14
Megachilidae,Megachile.perihirta,Linaria dalmatica,10-Jul-14
Halictidae,Lasioglossum.obnubilum,Phacelia linearis,10-Jul-14
Megachilidae,Anthidium.utahense,Melilotus officinalis,10-Jul-14
Megachilidae,Hoplitis.grinnelli,Melilotus officinalis,10-Jul-14
Megachilidae,Osmia.phaceliae,Melilotus officinalis,10-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Linaria dalmatica,10-Jul-14
Apidae,Anthophora.terminalis,Heterotheca villosa,10-Jul-14
Apidae,Ceratina.neomexicana,Heterotheca villosa,10-Jul-14
Megachilidae,Stelis.montana,Heterotheca villosa,10-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Phacelia linearis,10-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Phacelia linearis,10-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Melilotus officinalis,10-Jul-14
Apidae,Ceratina.neomexicana,Packera cana,10-Jul-14
Halictidae,Lasioglossum.albipenne,Melilotus officinalis,10-Jul-14
Megachilidae,Hoplitis.albifrons.argentifrons,Melilotus officinalis,10-Jul-14
Halictidae,Dufourea.trochantera,Symphyotrichum ascendens,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Apidae,Apis.mellifera,Melilotus officinalis,10-Jul-14
Apidae,Bombus.mixtus,Aquilegia flavescens,14-Jul-14
Apidae,Bombus.mixtus,Rubus parviflorus,14-Jul-14
Apidae,Bombus.mixtus,Rubus parviflorus,14-Jul-14
Apidae,Bombus.mixtus,Rubus parviflorus,14-Jul-14
Megachilidae,Heriades.cressoni,Heterotheca villosa,14-Jul-14
Megachilidae,Osmia.trevoris,Phacelia linearis,14-Jul-14
Megachilidae,Anthidium.clypeodentatum,Astragalus alpinus,14-Jul-14
Colletidae,Hylaeus.wootoni,Heterotheca villosa,14-Jul-14
Megachilidae,Megachile.melanophaea,Campanula rotundifolia,14-Jul-14
Megachilidae,Coelioxys.rufitarsis,Gaillardia aristata,14-Jul-14
Megachilidae,Osmia.albolateralis,Astragalus miser,14-Jul-14
Colletidae,Hylaeus.mesillae.rudbeckiae,Apocynum androsaemifolium,14-Jul-14
Megachilidae,Heriades.cressoni,Phacelia linearis,14-Jul-14
Megachilidae,Dianthidium.subparvum,Chaenactis douglasii,14-Jul-14
Apidae,Bombus.mixtus,Rubus parviflorus,14-Jul-14
Apidae,Bombus.mixtus,Rubus parviflorus,14-Jul-14
Apidae,Bombus.mixtus,Rubus parviflorus,14-Jul-14
Apidae,Bombus.bifarius,Lupinus sericeus,15-Jul-14
Apidae,Bombus.bifarius,Lupinus sericeus,15-Jul-14
